"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"ZestMart Back-to-School - Loyalty Boost","Increase loyalty program enrollment by 6%","Loyalty members aged 45-44 in Australia","Status, perks, and points - on us.","Display, Affiliate, Paid Search, SMS, Email","$260,000 incl. agency fees","Aug 25, 2027 - 3 week flight","Program enrollment: target +10.3% vs. baseline, over 30 days.","Members-only pricing must remain materially better than public promo. CEO and executive quotes require Comms approval."
"Quanta Strategy v2 - Awareness","Reach 5,091,230 unique impressions in target segment","HR leaders at companies with 500-5000 employees, US","Northbeam Consulting: built for what's next.","Email, PR, Content Syndication, Paid Social (LinkedIn)","$19,000 incl. agency fees","Apr 1, 2027 - 4 week flight","Aided awareness lift: baseline 41%, target +9 pts, over 30 days.","Subject lines under 50 characters; no emojis in B2B sends."
"AuroraWear Nordics - Renewal Drive","Renew 18,304 expiring contracts this cycle","Households with income $75K+ in Brazil suburbs (EU coverage)","Don't lose access - renew before Sep 24.","Display, Influencer, Connected TV, OOH, Email","To be confirmed by CMO","Jul 20, 2027 - 6 week flight","Reduce CPA","DACH market: double opt-in for email; no purchased lists. Maintain accessibility: WCAG 2.1 AA for all digital assets. Video assets capped at 15s for social, 30s for CTV."
"Nimbus Mobile - Trial Conversion Push #2","Increase trial-to-paid conversion from 47% to 52%","Prepaid customers aged 21-44 with 6+ months tenure, UK (EU coverage)","Your trial ends soon. Unlock the full FiberOne experience.","online","$570,000 excl. production","Jul 2, 2027 - 6 week flight","Trial-to-paid conversion: baseline 1.6%, target 4.8%, by end of quarter.","EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Do not reference unannounced roadmap items. Video assets capped at 15s for social, 30s for CTV."
"Anchor National 2027 - Retention Sprint","Improve 90-day retention by 11 percentage points","general consumers","Here's what's new, just for you.","online","Pending finance approval","Aug 6, 2027 - 6 week flight","Monthly churn: baseline 0.8%, target 0.5%, within 90 days post-launch.","Reg Z and UDAAP review required prior to launch. DACH market: double opt-in for email; no purchased lists."
"Helix DevTools v2 - Win-Back","Support the broader GTM motion","CFOs at SMBs with $10M-$100M revenue in Singapore","We've missed you - here's 25% off your next order.","Paid Search, Email, Paid Social (LinkedIn), Account-Based Marketing","$175,000","Q3 launch","Reactivation rate: baseline 3.7%, target 7.0%, over 30 days.","Exclude high-AOV segments from blanket discounts. No animated GIFs in email; static hero only."
"BrightArc University Spring - Lead Gen","Support the broader GTM motion","lapsed buyers","Get the playbook trusted by 500+ teams.","YouTube, Paid Search","Per-channel budget missing","summer push","SQL conversion: baseline 3.4%, target 16.6%, over the campaign flight.","Title IV compliance review required for any financial-aid messaging. DACH market: double opt-in for email; no purchased lists. Adhere to brand voice guidelines v3.2; primary palette only. Subject lines under 50 characters; no emojis in B2B sends."
"Bundlr - Loyalty Boost","Lift repeat purchase rate from 7% to 12%","VIP tier customers (top 10% LTV), UK","Members earn more. Join today.","performance marketing","Per-channel budget missing","Oct 8, 2026 - 10 week flight","Program enrollment: target +3.5% vs. baseline, within 90 days post-launch.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Adhere to brand voice guidelines v3.2; primary palette only."
"Halcyon Beauty - Upsell Wave #2","Grow the business in the target segment","millennials","Ready for the next tier? Here's what's waiting.","email and ads","$79,000","Jun 9, 2027 - 4 week flight","Baseline 1.3%, improve over time","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Margin floor 35%; exclude clearance SKUs from promotion. Use approved product photography only; lifestyle imagery requires brand review."
"MediBridge - Retention Sprint","Reduce monthly churn from 6.3% to 1.9%","Patients overdue for annual wellness visit, US (EU coverage)","Here's what's new, just for you.","Direct Mail, PR, Paid Search","$545,000 total","Aug 18, 2026 - 8 week flight","Monthly churn: baseline 0.8%, target 0.5%, over 30 days.","HIPAA compliance required; no PHI in creative or targeting data. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days."
"AzureTrails EMEA - Event Reg Push","Drive more revenue from this audience","Couples aged 21-54 with HHI $100K+, Singapore","Register now - early bird pricing ends soon.","Connected TV, Influencer, Email","Use available Q-end funds","Apr 15, 2027 - 2 week flight","Registrations: target 11,278; show-up rate >= 57%; over 30 days.","Avoid stacking with seasonal sale; cap combined discount at agreed max."
"Bundlr 2026 - App Adoption #2","Lift weekly active users by 3%","VIP tier customers (top 10% LTV), Benelux","Your account, in your pocket.","Email, Push Notifications, Affiliate","$495,000 excl. production","Nov 8, 2027 - 12 week flight","Installs: target 201,011; D7 retention >= 24%; within 90 days post-launch.","Maintain accessibility: WCAG 2.1 AA for all digital assets. Landing page must load under 2.5s on 4G."
"BlueCrest Bank Black Friday - Upsell Wave","Upsell 16,331 customers to a higher tier","our customer base","Unlock advanced capabilities built for power users.","Direct Mail, Display, Paid Search, Programmatic","$460,000 incl. agency fees","Mar 4, 2026 - 2 week flight","ARPU lift: baseline $27, target +12.9%, over 60 days.","No targeting on protected class attributes (ECOA/Reg B). Video assets capped at 15s for social, 30s for CTV."
"EmberKitchen - Seasonal Promo","Lift conversion rate by 4% vs. prior season baseline","millennials","Black Friday is here - shop the edit.","social and email","Per-channel budget missing","rolling","Incremental revenue: target $101,839, ROAS >= 3.7, over 60 days.","Hero creative must feature flagship product, not bundled SKUs."
"AzureTrails 2026 - Loyalty Boost","Drive more revenue from this audience","Business travelers aged 30-55, Brazil","Your loyalty, rewarded.","Email, Influencer, Connected TV, Paid Search","TBD","rolling","Program enrollment: target +12.6% vs. baseline, by end of quarter.",""
"Northbeam Consulting MENA - Trial Conversion Push","Move the needle on conversions this quarter","Founders of pre-Series A startups, Brazil","Ready when you are: pick the plan that fits.","Paid Social (LinkedIn), PR, Content Syndication","$120,000","next quarter","Trial-to-paid conversion: baseline 1.4%, target 13.9%, within 90 days post-launch.","Localization required for non-English markets; transcreation, not direct translation."
"MintRail v8 - Cross-sell Drive #2","Cross-sell 32,537 eligible customers","First-time investors aged 25-40 in India (EU coverage)","You already love Lumio Wallet. Here's the perfect companion.","Email, Paid Search, Paid Social (Meta)","$220,000 excl. production","Q3 launch","Conversion rate target 4.2%","Required disclosures on rates, fees, and partner bank relationship. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Maintain accessibility: WCAG 2.1 AA for all digital assets. No animated GIFs in email; static hero only."
"FitFuel Q1 2026 - Retention Sprint","Improve 90-day retention by 55 percentage points","Annual plan subscribers approaching renewal, UK","Thank you for being a customer - here's something special.","Push Notifications, Email, Paid Social (Meta)","$110,000 total","Feb 11, 2026 - 4 week flight","Monthly churn: baseline 1.9%, target 1.1%, over 60 days.","Hero creative must feature flagship product, not bundled SKUs."
"Apex Tutoring Q4 2027 - Upsell Wave","Upsell 1,384 customers to a higher tier","Working professionals aged 21-70 considering a career change, India","You're getting more from LearnRise Academy than ever - here's how to get even more.","Paid Social (Meta), YouTube, Email, Paid Search, Webinar","Limited budget","soon","ARPU lift: baseline $36, target +28.2%, by end of quarter.","Outcome claims (placement, salary) must include cohort source citation. Video assets capped at 15s for social, 30s for CTV."
"Skyloft Hotels - Renewal Drive","Drive more revenue from this audience","Loyalty members with 1+ booking in last 24 months, Brazil","Stay covered. Stay supported.","Influencer, Paid Social (Meta), Display, Paid Search","Pending finance approval","this year","Gross renewal rate: baseline 82.9%, target 87.3%, over 30 days.","Suppress recently booked travelers to avoid post-purchase regret refunds."
"Sterling Federal 2026 - Event Reg Push #2","Register 17,354 attendees","Mass-affluent customers aged 35-64 with $50K-$250K deposits, UK (EU coverage)","NorthExpo: where the industry connects.","Display, Direct Mail, Paid Search, Programmatic, Email","$390,000 total","Mar 23, 2027 - 2 week flight","Registrations: target 2,852; show-up rate >= 64%; over 30 days.","No targeting on protected class attributes (ECOA/Reg B). Hero creative must feature flagship product, not bundled SKUs."
"InsureCon Tax Season - Win-Back","Reactivate 13% of customers dormant for 6+ months","Past attendees of last 2 editions, UK","A lot has changed. Come back and see what's new.","Paid Social (LinkedIn), Webinar, Email","$190,000","Mar 20, 2027 - 2 week flight","Conversion rate target 8.2%","Do not run alongside sitewide free-shipping promo without finance sign-off. CEO and executive quotes require Comms approval."
"Drift Footwear Q2 2026 - Event Reg Push","Hit 36% RSVP-to-attend conversion","Women aged 40-34 interested in sustainable fashion, Australia","InsureCon: where the industry connects.","SMS, Paid Social (Meta), Email, Connected TV","$375,000 excl. production","Feb 26, 2026 - 12 week flight","Registrations: target 5,362; show-up rate >= 73%; over 60 days.","Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative. CEO and executive quotes require Comms approval. Video assets capped at 15s for social, 30s for CTV."
"Bundlr EU - Launch","Generate 3,764 qualified sign-ups in the first 60 days","digital-first audience","Meet ShopHaven: everything you loved, reimagined.","Paid Social (Meta), Email, Display, Affiliate, SMS","TBD","Jun 17, 2026 - 3 week flight","ROAS target 5.8","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Do not reference unannounced roadmap items."
"SyncSuite Cyber Monday - Upsell Wave","Move the needle on conversions this quarter","IT decision-makers at mid-market firms (Nordics), Healthtech verticals","You're getting more from OrbitHR than ever - here's how to get even more.","email and ads","To be confirmed by CMO","Nov 16, 2027 - 2 week flight","ARPU lift: baseline $148, target +19.4%, by end of quarter.","CEO and executive quotes require Comms approval. Subject lines under 50 characters; no emojis in B2B sends."
"FutureStack Conference 2027 - Win-Back","Win back 17,245 lapsed customers","lapsed buyers","Your spot is still here. Welcome back.","paid media","$135,000","Oct 7, 2027 - 8 week flight","Reduce CPA","CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
